spu_code,country,product_id
S230704006732,DE,1729518662130965166
S240113002048,DE,1729480581239905099
S230519000492,CZ,1729848623935691512
S240516000802,CZ,1729835729608415431
S231221001368,ES,1729494709949864152
S240425006405,PL,1729841917526907448
S240308005321,PT,1729880148527847835
S231213006423,CZ,1729841450569865895
S240411008163,CZ,1729841946171119988
S240113002048,CZ,1729844774197631819
S230922006110,ES,1729511525127461550
S240606005457,ES,1729509208427109112
S240117001266,DE,1729536065519917742
S230626001758,DE,1729511490691570350
S240113002048,AT,1729844771589167947
S240120001746,BE,1729868169528842503
S240530006454,CZ,1729847717829319043
S240702005997,CZ,1729848043402402179
S240625005184,CZ,1729846647529904888
S240531001414,FR,1729480248788818119
S230612001911,GB,1729400120673144494
S230913000233,DE,1729482736439630196
S240619007543,BE,1729877174647298727
S240126001171,BE,1729851975029594523
S240516001450,AT,1729835719382243527
S240531001414,AT,1729836119909439687
S240516000858,BE,1729835720152619207
S230623001929,BE,1729851740242942708
S240110002456,CZ,1729845963120941428
S230714007059,AT,1729851497860143548
S240516000858,FR,1729480022070237383
S240502000447,DE,1729508590712363851
S230818004955,ES,1729511489691359918
S230719005049,IT,1729493311857269089
S240530001048,CZ,1729835721219086535
S240214000183,GR,1729846721546721585
S240530006454,DE,1729485485409802627
S240110002456,AT,1729845960514443636
S240430003648,AT,1729847547308579576
S240510005500,ES,1729480273874885628
S240304006163,ES,1729499790895847640
S240624005640,PT,1729848524598319672
S240613007638,PT,1729890525878393511
S240625005184,IT,1729509350715661048
S240120001746,DE,1729480695494187271
S240425006129,DE,1729480756594776632
S240111000398,AT,1729844771678559051
S240605001901,BE,1729836132959951047
S240617006065,GR,1729842214570204074
S230913002841,HU,1729845929343228747
S240605001901,HU,1729836132935178439
S230623001927,AT,1729849183458269940
S240416006999,AT,1729849996214835587
S231211002400,BE,1729855035524750072
S240123000258,DE,1729480007003970186
S240516001556,DE,1729480628499355847
S240516001556,BE,1729835720191678663
S240613007638,BE,1729890524906756775
S240510005500,BE,1729878477988600828
S240627002082,BE,1729873501816723726
S240320007505,BE,1729857933353523879
S240325001637,BE,1729873916579060732
S240304006163,CZ,1729851521722718424
S230913000233,CZ,1729845825904941428
S231205001739,DE,1729586949906995611
S240430001847,DE,1729494223794641739
S240414001763,BE,1729858244979824903
S240531001414,BE,1729836118917814471
S240617001899,BE,1729849034152843454
S230816008094,BE,1729851533399726524
S230627005609,CZ,1729851707504236658
S240704005317,DE,1729480807436032741
S240516000769,AT,1729835720234277063
S240627002082,AT,1729841484387948814
S231213006423,BE,1729882241347066535
S240611003308,CZ,1729836134133897415
S230608000849,MX,1731764467451136686
S230715001865,GB,1729400442621890251
S240321007892,ES,1729482563176602465
S240611003308,IT,1729480808635537607
S240612006904,IT,1729488685482613496
S240408000462,GB,1729406664247184654
S240701005248,DE,1729488627888134900
S240117001284,ES,1729536077771872942
S240229001508,IT,1729483330127960334
S240516000816,HU,1729836771721124039
S240229005984,IT,1729487589450750014
S231221001368,HU,1729851523839006936
S230816008094,IT,1729480011174156732
S231108000687,DE,1729563055733774881
S240414001763,DE,1729483009609341191
S240619003492,AT,1729835720212781255
S240614004093,AT,1729851763625859557
S240530006454,BE,1729851700102732163
S240626001899,BE,1729836133570877639
S240430003648,CZ,1729847558004447992
S230925002301,FR,1729519032853043886
S240611002679,DE,1729507178471398062
S230628004022,AT,1729872948919638779
S240516000816,AT,1729836771672299719
S231213006423,AT,1729840708483586727
S240619007543,AT,1729841699931658919
S240313006988,AT,1729841784560130420
S240425006129,BE,1729846588787825208
S240619003492,BE,1729835720126273735
S240214000183,BE,1729851504709114161
S240516001053,BE,1729835720279103687
S240607001889,BE,1729836763937151175
S230925002398,CZ,1729845243539987275
S231008002576,DE,1729531977278724775
S240313006988,DE,1729491633054914932
S231223003995,DE,1729622564115028714
S240505000827,AT,1729847683832256782
S230623001929,AT,1729851740126288628
S240514005841,AT,1729835720746113223
S240701005248,CZ,1729847929775299316
S231024005191,IT,1729482934055902049
S231024005191,DE,1729483022798527329
S240110001892,ES,1729481144911502155
S230919003175,MX,1732231668825557581
S240123000225,MX,1731995907904277166
S240704005317,CZ,1729851472602438373
S240111000398,DE,1729493611462957899
S230616003852,ES,1729487887210683124
S230627000782,DE,1729533748384996014
S240617001899,DE,1729480664002566334
S230822004242,IT,1729528291142376110
S240510005500,DE,1729480270483004412
S230608000849,IT,1729525377304074926
S230627005609,ES,1729503835064932466
S231031002089,FR,1729480595943824116
S231117003326,DE,1729480632816737136
S240214000183,CZ,1729846721630607665
S231211002400,DE,1729557648160889592
S230708003072,ES,1729480113915599611
S240109003042,ES,1729493563967445835
S240516000858,ES,1729480023215347911
S240229004366,ES,1729489169033107726
S231213005464,ES,1729498497176869610
S231031002089,ES,1729480598373309172
S240621002828,FR,1729480093498972923
S230925002301,IT,1729519032984378030
S240624005640,GB,1729421304096984632
S230816008094,FR,1729480010757020092
S240502000465,FR,1729481570524633931
S231213005464,IT,1729498497044617962
S240318006366,US,1729460887621964522
S240411008163,IT,1729480043562703220
S240321007892,IT,1729482568603835233
S230722001297,DE,1729518659216841390
S240411008163,DE,1729480043415443828
S231213006423,DE,1729501433916005031
S240611003308,DE,1729480809960478919
S230814005182,DE,1729637538081577716
S240517003934,DE,1729501969911094091
S230818004955,DE,1729511489688345262
S240704005317,FR,1729480808007047909
S240516000802,BE,1729835729609005255
S231221001368,BE,1729851523885406424
S231028002041,CZ,1729845141420284276
S231205001739,CZ,1729850702716377499
S240125000529,CZ,1729846719707716376
S240430001847,FR,1729494223774063435
S230612001911,FR,1729518535001086638
S240613007638,DE,1729518865202059943
S240517001768,DE,1729518495746005835
S240516000816,DE,1729480567166048455
S230626003465,IT,1729528223738731182
S230627000782,IT,1729527803922193070
S240619003492,DE,1729480607834544327
S230704006732,GB,1729400232469499595
S230913002841,GB,1729401444396863307
S240621002828,GB,1729421960072564475
S240530001048,BE,1729835720204327111
S240424001858,ES,1729480473337895175
S231028002128,DE,1729526393388964526
S240702005997,DE,1729482096385759619
S231230003303,GB,1729403804721123064
S240516000468,FR,1729480739800914119
S240509002191,IT,1729509764921924270
S231201004174,ES,1729506974939716344
S231230003303,ES,1729506885707537144
S240120001746,FR,1729483453570193671
S240621002668,DE,1729488796796361467
S240120000300,DE,1729494671147244266
S231127001212,DE,1729508654679169784
S230829001143,DE,1729526190358239918
S240627001374,DE,1729514518204029702
S240328007779,DE,1729498222127717038
S240111000398,CZ,1729844774296460107
S240120000300,FR,1729494672131332842
S240502000399,FR,1729493564905331531
S230925002398,NL,1729845241968565067
S240325001637,NL,1729873915261131772
S240411008163,PL,1729841946172823924
S230822004242,DE,1729528294248782510
S230925002398,DE,1729480233350110027
S240125000529,DE,1729541626179066648
S240516001053,AT,1729835721237043399
S231221001368,AT,1729847333291727064
S231028002041,BE,1729848416314169716
S231103000470,ES,1729532525811833518
S240608004083,MX,1731145716563609084
S240110001643,DE,1729518448664746827
S230714001746,DE,1729519027591092910
S240425006405,DE,1729480023851899448
S240627001374,AT,1729846558247262982
S240531006688,AT,1729842021762243128
S231227004777,AT,1729845817335715895
S230816008094,AT,1729851533357390268
S240516000858,AT,1729835721177012423
S240607001889,CZ,1729836763886295239
S231230003303,DE,1729506884809693944
S231108000687,IT,1729563055241533985
S240425006129,AT,1729841847898118712
S240411008163,AT,1729841946073471348
S240605000978,DE,1729518395159976779
S240110002456,US,1729435798468923764
S240624005640,DE,1729483416258320952
S240516001556,CZ,1729835721228196039
S240516000468,CZ,1729835720115853511
S230816008094,CZ,1729851533265508796
S230710004568,ES,1729864993698323224
S240605000978,FR,1729518386429860683
S240430003648,IT,1729503091675208440
S240607001889,DE,1729480646238968007
S240627002082,DE,1729503823638993166
S231223003995,GB,1729403375651557098
S230629000118,DE,1729492265596853089
S230814005182,FR,1729637538080201460
S231017002072,FR,1729536074600782510
S230608000909,GB,1729399954310794955
S240425006405,ES,1729480024572992056
S230710004568,MX,1732063438160497432
S230812002714,FR,1729511451402803886
S240329007225,IT,1729487754311473912
S240505000827,CZ,1729847681594333454
S240516000858,CZ,1729835721193789639
S240320007505,DE,1729514192554400423
S231113003632,ES,1729508641371495160
S240304005976,GB,1729405273211833869
S240110002456,ES,1729491840546871668
S231227004777,CZ,1729845817310484535
S240329007225,CZ,1729847247598033656
S240513003054,ES,1729480582677567687
S240123000225,ES,1729537163066186414
S240626007319,DE,1729486057900710413
S231205002610,AT,1729847404494559992
S240229001508,BE,1729851485713701134
S240614004093,BE,1729851762641181157
S240611003308,BE,1729836134067509447
S240110002456,DE,1729491837274921332
S230614000045,DE,1729502588358007544
S240419006151,DE,1729514331091278598
S231205002610,DE,1729508236657269496
S230714002421,FR,1729519028659657390
S240419006151,PL,1729846577041021702
S230925002398,PT,1729845243438275403
S240509002191,ES,1729509766656465582
S240615000236,DE,1729480046909757791
S240123000258,IT,1729480007905811082
S230724001028,GB,1729400777711980206
S240611003308,FR,1729480809826195655
S230812002714,DE,1729511441794439854
S240414001763,MX,1731799436946671879
S231028002041,NL,1729845141332072820
S240516000802,ES,1729481197058824391
S240416006597,ES,1729481736235948419
S240516001450,DE,1729481637249915079
S240329007225,DE,1729487755014740728
S240229005984,DE,1729487589471721534
S240617006065,GB,1729420635666091946
S240123000621,DE,1729512049004485294
S230714007059,DE,1729492752301398460
S240624005615,ES,1729480137184811576
S240516001556,ES,1729480628648122567
S240608004083,DE,1729480066700581372
S231113003632,DE,1729508642039307000
S240505000827,DE,1729480172778789134
S230623001929,DE,1729480616267062004
S240517002807,FR,1729481946734631755
S240701005759,IT,1729480930132597261
S231106002558,ES,1729518791312906785
S240517003934,FR,1729501969611070283
S240109003042,DE,1729493563699141451
S240617001899,IT,1729480665145317566
S230704006732,IT,1729518662161898158
S230623001929,FR,1729480619124955892
S240304006163,DE,1729499790562793688
S240325001637,DE,1729485944636873724
S240619007543,CZ,1729841848077359783
S240316001666,DE,1729482990023449322
S230714002421,IT,1729519028549294766
S240531001414,DE,1729480249843882183
S240614004093,DE,1729489699997063653
S230828003623,US,1729398918076338862
S240430003648,DE,1729503090454993656
S230721000832,HU,1729885240476867246
S240702005997,HU,1729848042686945667
S230626001758,ES,1729511490503285422
S240624005640,NL,1729848522466040376
S231223003995,ES,1729622560825514730
S231017002176,ES,1729512148220025518
S230714001746,GB,1729400532721635019
S240527003464,DE,1729480376576940875
S240619003492,ES,1729480605742504135
S230613001999,FR,1729518523384371886
S240125000529,ES,1729541626215308056
S230714007059,GB,1729400671570660796
S240619007543,DE,1729482191853165223
S231017002072,DE,1729536076701473454
S240617006065,FR,1729481944974203818
